Year,Africa_cell,Asia_cell,Australia_cell,Central_America_cell,Europe_cell,North_America_cell,Oceania_cell,South_America_cell,Africa_food,Asia_food,Australia_food,Central_America_food,Europe_food,North_America_food,Oceania_food,South_America_food,Africa_pop,Asia_pop,Australia_pop,Central_America_pop,Europe_pop,North_America_pop,Oceania_pop,South_America_pop
1990,0,10,3,0,30,8,0,0,102410,70664,6436,19369,75831,43007,18081,28714,3435,10698,15,554,30963,5212,2227,192
1991,0,15,4,0,39,12,1,0,103288,70791,6287,19496,75547,42697,17740,29335,3503,10948,15,565,31306,5272,2265,196
1992,0,19,6,0,54,19,2,1,103117,91094,6303,19655,105233,42680,17523,29799,3565,11208,15,576,31640,5341,2301,199
1993,1,28,8,1,77,27,5,3,104391,90652,6256,19790,104861,42442,17547,29926,3625,11473,15,588,31968,5413,2335,203
1994,2,44,13,1,120,39,7,5,104920,91568,6199,19781,104446,42278,18214,30258,3691,11739,16,599,32296,5482,2366,206
1995,3,83,22,3,187,60,10,9,105266,92648,6260,19703,104325,42579,18040,30524,3766,12002,16,610,32627,5542,2395,210
1996,8,135,35,5,285,72,10,15,105470,93126,6221,19641,105299,42566,18436,30752,3853,12265,16,620,32965,5592,2423,214
1997,15,204,40,7,428,103,14,29,105885,93157,6251,19477,105339,43181,18703,30879,3951,12528,16,630,33303,5634,2449,217
1998,28,276,47,15,712,134,26,50,106487,92719,6165,19910,106099,43177,18727,30855,4055,12785,16,640,33627,5671,2472,220
1999,62,388,70,36,1129,196,48,89,107182,93071,6216,19793,106622,43827,18444,31162,4160,13028,17,649,33917,5711,2493,224
2000,131,570,85,64,1656,284,76,139,107620,93318,6149,19941,110210,44493,18922,31508,4263,13253,17,658,34155,5759,2512,227
2001,207,759,116,92,2073,416,116,189,108327,93740,6189,20703,111319,44350,19216,31427,4361,13449,17,667,34340,5815,2527,231
2002,288,935,126,112,2359,557,163,225,108740,94964,6199,20832,112022,44654,19385,31079,4458,13624,17,675,34474,5878,2540,234
2003,383,1118,137,143,2688,709,204,277,109596,96105,6274,20813,111664,44791,19466,31493,4553,13812,17,684,34572,5943,2551,237
2004,537,1384,156,205,3109,923,258,361,110365,96810,6224,20723,112893,44784,19522,31482,4649,14062,18,693,34647,6008,2563,240
2005,793,1713,176,273,3528,1156,227,510,111440,97765,6286,20883,113199,44903,19623,31789,4749,14403,18,701,34716,6067,2575,244
2006,1099,2144,186,375,3966,1365,285,713,112734,98003,6338,20986,118761,45056,19668,31735,4851,14853,18,710,34780,6119,2588,247
2007,1492,2686,201,518,4321,1544,391,887,113689,98801,6386,21083,119001,45424,19728,31827,4955,15393,18,719,34839,6166,2602,250
